time	type	info
63608503087262.836	log	started
63608503090063.516	window	opened main
63608503090269.508	flip	show start
63608503090277.961	experiment	using default block order
63608503090308.609	experiment	Setting nCorrect to 0
63608503094942.383	experiment	run 1 start
63608503094953.562	flip	waiting for scanner
63608503094997.594	experiment	rest
63608503095086.914	flip	block 1, type: level one | same
63608503095090.320	experiment	waiting (for prompt HRF decay)
63608503095115.641	experiment	trial 1
63608503096111.461	keyboard	down: response
63608503264310.109	experiment	run 1 start
63608503264345.844	flip	waiting for scanner
63608503264407.383	experiment	rest
63608503264512.539	flip	block 1, type: level one | same
63608503264516.156	experiment	waiting (for prompt HRF decay)
63608503264542.508	experiment	trial 1
63608503265414.055	keyboard	down: response
63608503311044.961	experiment	run 1 start
63608503311086.203	flip	waiting for scanner
63608503311132.742	experiment	rest
63608503311236.227	flip	block 1, type: level one | same
63608503311239.797	experiment	waiting (for prompt HRF decay)
63608503311264.609	experiment	trial 1
63608503312677.609	keyboard	down: response
63608503325876.930	experiment	run 1 start
63608503325905.094	flip	waiting for scanner
63608503325958.492	experiment	rest
63608503326055.117	flip	block 1, type: level one | same
63608503326058.578	experiment	waiting (for prompt HRF decay)
63608503326084.570	experiment	trial 1
63608503327053.562	keyboard	down: response
63608503327103.969	experiment	feedback (n, 0/1)
63608503328192.719	experiment	trial 2
63608503328797.500	keyboard	down: response
63608503328827.828	experiment	feedback (y, 1/2)
63608503329909.047	experiment	trial 3
63608503330421.930	keyboard	down: response
63608503330462.039	experiment	feedback (y, 2/3)
63608503331546.117	experiment	trial 4
63608503332421.469	keyboard	down: response
63608503332461.516	experiment	feedback (y, 3/4)
63608503333546.383	experiment	trial 5
63608503334413.414	keyboard	down: response
63608503334443.719	experiment	feedback (n, 3/5)
63608503335531.930	experiment	trial 6
63608503336237.406	keyboard	down: response
63608503336277.766	experiment	feedback (y, 4/6)
63608503337360.758	experiment	trial 7
63608503338021.438	keyboard	down: response
63608503338063.594	experiment	feedback (n, 4/7)
63608503339144.344	experiment	trial 8
63608503339757.391	keyboard	down: response
63608503339793.922	experiment	feedback (y, 5/8)
63608503340878.016	experiment	trial 9
63608503341557.539	keyboard	down: response
63608503341594.195	experiment	feedback (y, 6/9)
63608503342678.312	experiment	trial 10
63608503343285.414	keyboard	down: response
63608503343316.062	experiment	feedback (n, 6/10)
63608503344394.438	experiment	trial 11
63608503344917.430	keyboard	down: response
63608503344952.086	experiment	feedback (y, 7/11)
63608503346028.594	experiment	trial 12
63608503346693.344	keyboard	down: response
63608503346733.312	experiment	feedback (y, 8/12)
63608503347812.258	experiment	trial 13
63608503348453.664	keyboard	down: response
63608503348499.578	experiment	feedback (y, 9/13)
63608503349581.797	experiment	trial 14
63608503350205.289	keyboard	down: response
63608503350250.430	experiment	feedback (y, 10/14)
63608503351329.469	experiment	trial 15
63608503351981.508	keyboard	down: response
63608503352017.023	experiment	feedback (n, 10/15)
63608503353096.102	experiment	trial 16
63608503369532.305	experiment	run 1 start
63608503369545.008	flip	waiting for scanner
63608503369597.836	experiment	rest
63608503369711.695	flip	block 1, type: level one | same
63608503369715.320	experiment	waiting (for prompt HRF decay)
63608503369739.914	experiment	trial 1
63608503370453.766	keyboard	down: response
63608503370482.195	experiment	feedback (n, 0/1)
63608503371567.469	experiment	trial 2
63608503371941.195	keyboard	down: response
63608503371985.367	experiment	feedback (n, 0/2)
63608503373066.172	experiment	trial 3
63608503373933.344	keyboard	down: response
63608503373969.617	experiment	feedback (n, 0/3)
63608503375049.617	experiment	trial 4
63608503375789.180	keyboard	down: response
63608503375824.578	experiment	feedback (n, 0/4)
63608503376899.664	experiment	trial 5
63608503377461.156	keyboard	down: response
63608503377502.984	experiment	feedback (y, 1/5)
63608503378583.570	experiment	trial 6
63608503379133.195	keyboard	down: response
63608503379169.836	experiment	feedback (n, 1/6)
63608503380250.602	experiment	trial 7
63608503380837.250	keyboard	down: response
63608503380867.281	experiment	feedback (n, 1/7)
63608503381950.891	experiment	trial 8
63608503382405.094	keyboard	down: response
63608503382437.859	experiment	feedback (n, 1/8)
63608503383517.531	experiment	trial 9
63608503384133.094	keyboard	down: response
63608503384169.797	experiment	feedback (y, 2/9)
63608503385251.266	experiment	trial 10
63608503385757.008	keyboard	down: response
63608503385784.844	experiment	feedback (n, 2/10)
63608503386868.094	experiment	trial 11
63608503387349.008	keyboard	down: response
63608503387384.797	experiment	feedback (y, 3/11)
63608503388467.445	experiment	trial 12
63608503388933.430	keyboard	down: response
63608503388979.797	experiment	feedback (y, 4/12)
63608503390068.719	experiment	trial 13
63608503390532.961	keyboard	down: response
63608503390579.789	experiment	feedback (y, 5/13)
