time	type	info
63607807831720.672	log	started
63607807835248.797	window	opened main
63607807835743.875	flip	show start
63607807835821.680	experiment	using default block order
63607807835856.320	experiment	Setting nCorrect to 0
63607807843037.734	keyboard	down: response
63607807843108.227	experiment	feedback (y)
63607807848207.750	keyboard	down: response
63607807848220.719	experiment	feedback (y)
63607807867257.086	keyboard	down: response
63607807867266.586	experiment	feedback (y)
63607807875445.117	keyboard	down: response
63607807875456.805	experiment	feedback (y)
63607807889948.586	keyboard	down: response
63607807889969.102	experiment	feedback (n)
63607807896815.828	experiment	run 1 start
63607807897000.570	experiment	rest
63607807901086.461	flip	block 1, type: level one | same
63607807904965.609	experiment	waiting (for prompt HRF decay)
63607807914545.750	keyboard	down: response
63607807914573.875	experiment	feedback (y, 1/1)
63607807917137.578	keyboard	down: response
63607807917152.039	experiment	feedback (n, 1/2)
63607807919011.031	keyboard	down: response
63607807919037.070	experiment	feedback (y, 2/3)
63607807922962.125	experiment	rest
63607807927053.359	flip	block 2, type: level one | different
63607807930961.219	experiment	waiting (for prompt HRF decay)
63607807934692.117	window	closed (Usage: Screen('Close', [windowOrTextureIndex or list of textureIndices/offscreenWindowIndices]);)
63607807935006.188	log	ended
